* Data was revised on 10/4/23 to reflect the removal of 40 students with erroneous enrollments.,,,,,,,,,,,,,,,,,,,,,,,,
 School Information ,,,,,,,White,,Black/African American,,Asian/ Pacific Islander (Retired),,"Native American/
 Alaskan",,Latinx,,Multiracial,,Asian,,"Hawaiian/
 Pacific Islander",,"Not 
 Available",
609733, SULLIVAN HS , Network 14 , District , Traditional , ROGERS PARK , 723 , 109 ,15.1%, 223 ,30.8%, - ,0.0%, 2 ,0.3%, 300 ,41.5%, 13 ,1.8%, 71 ,9.8%, 1 ,0.1%, 4 ,0.6%
610194, SUMNER , Network 5 , District , Traditional , WEST GARFIELD PARK , 203 , 1 ,0.5%, 199 ,98.0%, - ,0.0%, - ,0.0%, 3 ,1.5%, - ,0.0%, - ,0.0%, - ,0.0%, - ,0.0%
610195, SUTHERLAND , Network 10 , District , Traditional , BEVERLY , 629 , 171 ,27.2%, 360 ,57.2%, - ,0.0%, - ,0.0%, 67 ,10.7%, 29 ,4.6%, 2 ,0.3%, - ,0.0%, - ,0.0%
610196, SWIFT , Network 2 , District , Traditional , EDGEWATER , 602 , 82 ,13.6%, 136 ,22.6%, - ,0.0%, 1 ,0.2%, 224 ,37.2%, 14 ,2.3%, 142 ,23.6%, 3 ,0.5%, - ,0.0%
609734, TAFT HS , Network 14 , District , Traditional , NORWOOD PARK ," 4,228 "," 1,759 ",41.6%, 116 ,2.7%, - ,0.0%, 10 ,0.2%," 1,855 ",43.9%, 89 ,2.1%, 298 ,7.0%, 26 ,0.6%, 75 ,1.8%
610197, TALCOTT , Network 6 , District , Traditional , WEST TOWN , 465 , 45 ,9.7%, 22 ,4.7%, - ,0.0%, 1 ,0.2%, 386 ,83.0%, 8 ,1.7%, 2 ,0.4%, - ,0.0%, 1 ,0.2%
610249, TALMAN , ISP , District , Traditional , GAGE PARK , 347 , 7 ,2.0%, 5 ,1.4%, - ,0.0%, 1 ,0.3%, 331 ,95.4%, 1 ,0.3%, 1 ,0.3%, - ,0.0%, 1 ,0.3%
610279, TANNER , Network 12 , District , Traditional , GREATER GRAND CROSSING , 250 , - ,0.0%, 240 ,96.0%, - ,0.0%, - ,0.0%, 9 ,3.6%, 1 ,0.4%, - ,0.0%, - ,0.0%, - ,0.0%
610396, TARKINGTON , Network 10 , District , Traditional , CHICAGO LAWN , 854 , 5 ,0.6%, 153 ,17.9%, - ,0.0%, 1 ,0.1%, 691 ,80.9%, 1 ,0.1%, 3 ,0.4%, - ,0.0%, - ,0.0%
610198, TAYLOR , Network 13 , District , Traditional , EAST SIDE , 324 , 30 ,9.3%, 34 ,10.5%, - ,0.0%, 1 ,0.3%, 259 ,79.9%, - ,0.0%, - ,0.0%, - ,0.0%, - ,0.0%
609921, TELPOCHCALLI , Network 7 , District , Traditional , SOUTH LAWNDALE , 226 , 11 ,4.9%, 7 ,3.1%, - ,0.0%, - ,0.0%, 205 ,90.7%, 2 ,0.9%, - ,0.0%, 1 ,0.4%, - ,0.0%
610504, THOMAS , ISP , District , Early Childhood , MCKINLEY PARK , 128 , 7 ,5.5%, 3 ,2.3%, - ,0.0%, - ,0.0%, 100 ,78.1%, 3 ,2.3%, 15 ,11.7%, - ,0.0%, - ,0.0%
610200, THORP J , Network 12 , District , Traditional , SOUTH CHICAGO , 323 , 2 ,0.6%, 259 ,80.2%, - ,0.0%, 1 ,0.3%, 60 ,18.6%, 1 ,0.3%, - ,0.0%, - ,0.0%, - ,0.0%
610201, THORP O , ISP , District , Traditional , DUNNING , 823 , 233 ,28.3%, 59 ,7.2%, - ,0.0%, 2 ,0.2%, 464 ,56.4%, 33 ,4.0%, 28 ,3.4%, 2 ,0.2%, 2 ,0.2%
609735, TILDEN HS , Network 16 , District , Traditional , NEW CITY , 223 , 23 ,10.3%, 88 ,39.5%, - ,0.0%, - ,0.0%, 100 ,44.8%, 2 ,0.9%, 4 ,1.8%, 1 ,0.4%, 5 ,2.2%
610065, TILL , Network 9 , District , Traditional , WOODLAWN , 329 , - ,0.0%, 319 ,97.0%, - ,0.0%, 1 ,0.3%, 7 ,2.1%, 2 ,0.6%, - ,0.0%, - ,0.0%, - ,0.0%
610202, TILTON , Network 5 , District , Traditional , WEST GARFIELD PARK , 239 , 1 ,0.4%, 215 ,90.0%, - ,0.0%, 1 ,0.4%, 22 ,9.2%, - ,0.0%, - ,0.0%, - ,0.0%, - ,0.0%
609773, TUBMAN , Network 4 , District , Traditional , LAKE VIEW , 279 , 105 ,37.6%, 56 ,20.1%, - ,0.0%, 1 ,0.4%, 83 ,29.7%, 22 ,7.9%, 12 ,4.3%, - ,0.0%, - ,0.0%
609895, TURNER-DREW , ISP , District , Traditional , ROSELAND , 193 , - ,0.0%, 190 ,98.4%, - ,0.0%, - ,0.0%, 3 ,1.6%, - ,0.0%, - ,0.0%, - ,0.0%, - ,0.0%
610206, TWAIN , Network 10 , District , Traditional , GARFIELD RIDGE , 870 , 61 ,7.0%, 16 ,1.8%, - ,0.0%, - ,0.0%, 787 ,90.5%, - ,0.0%, 5 ,0.6%, 1 ,0.1%, - ,0.0%
400075, U OF C - DONOGHUE , Charter , Charter , Traditional , OAKLAND , 500 , 1 ,0.2%, 473 ,94.6%, - ,0.0%, 1 ,0.2%, 16 ,3.2%, 3 ,0.6%, - ,0.0%, - ,0.0%, 6 ,1.2%
400076, U OF C - NKO , Charter , Charter , Traditional , KENWOOD , 305 , 5 ,1.6%, 290 ,95.1%, - ,0.0%, 1 ,0.3%, 6 ,2.0%, 3 ,1.0%, - ,0.0%, - ,0.0%, - ,0.0%
400077, U OF C - WOODLAWN HS , Charter , Charter , Traditional , WOODLAWN , 607 , 1 ,0.2%, 589 ,97.0%, - ,0.0%, 1 ,0.2%, 10 ,1.6%, 2 ,0.3%, - ,0.0%, - ,0.0%, 4 ,0.7%
610394, UPLIFT HS , Network 14 , District , Traditional , UPTOWN , 161 , 7 ,4.3%, 93 ,57.8%, - ,0.0%, - ,0.0%, 52 ,32.3%, 2 ,1.2%, 5 ,3.1%, - ,0.0%, 2 ,1.2%
400105, URBAN PREP - BRONZEVILLE HS , Charter , Charter , Traditional , DOUGLAS , 164 , - ,0.0%, 158 ,96.3%, - ,0.0%, - ,0.0%, 4 ,2.4%, - ,0.0%, - ,0.0%, - ,0.0%, 2 ,1.2%
400086, URBAN PREP - ENGLEWOOD HS , Charter , Charter , Traditional , ENGLEWOOD , 93 , - ,0.0%, 90 ,96.8%, - ,0.0%, - ,0.0%, 3 ,3.2%, - ,0.0%, - ,0.0%, - ,0.0%, - ,0.0%
610207, VANDERPOEL , Network 10 , District , Traditional , BEVERLY , 239 , - ,0.0%, 234 ,97.9%, - ,0.0%, - ,0.0%, 2 ,0.8%, 3 ,1.3%, - ,0.0%, - ,0.0%, - ,0.0%
609766, VAUGHN HS , Network 14 , District , Specialty , PORTAGE PARK , 214 , 33 ,15.4%, 38 ,17.8%, - ,0.0%, 1 ,0.5%, 130 ,60.7%, 2 ,0.9%, 7 ,3.3%, 1 ,0.5%, 2 ,0.9%
609871, VICK , Network 10 , District , Early Childhood , MORGAN PARK , 420 , 162 ,38.6%, 83 ,19.8%, - ,0.0%, - ,0.0%, 156 ,37.1%, 16 ,3.8%, 1 ,0.2%, - ,0.0%, 2 ,0.5%
610209, VOLTA , Network 1 , District , Traditional , ALBANY PARK , 742 , 47 ,6.3%, 23 ,3.1%, - ,0.0%, - ,0.0%, 476 ,64.2%, 13 ,1.8%, 183 ,24.7%, - ,0.0%, - ,0.0%
610039, VON LINNE , Network 4 , District , Traditional , AVONDALE , 676 , 121 ,17.9%, 24 ,3.6%, - ,0.0%, 3 ,0.4%, 487 ,72.0%, 29 ,4.3%, 6 ,0.9%, 3 ,0.4%, 3 ,0.4%
609737, VON STEUBEN HS , Network 14 , District , Traditional , NORTH PARK ," 1,670 ", 281 ,16.8%, 161 ,9.6%, - ,0.0%, 6 ,0.4%, 926 ,55.4%, 30 ,1.8%, 243 ,14.6%, 17 ,1.0%, 6 ,0.4%
610366, WACKER , ISP , District , Traditional , WASHINGTON HEIGHTS , 220 , - ,0.0%, 212 ,96.4%, - ,0.0%, - ,0.0%, 5 ,2.3%, 3 ,1.4%, - ,0.0%, - ,0.0%, - ,0.0%
610213, WADSWORTH , Network 9 , District , Traditional , WOODLAWN , 475 , - ,0.0%, 448 ,94.3%, - ,0.0%, - ,0.0%, 22 ,4.6%, 5 ,1.1%, - ,0.0%, - ,0.0%, - ,0.0%
610216, WALSH , Network 7 , District , Traditional , LOWER WEST SIDE , 250 , 7 ,2.8%, 54 ,21.6%, - ,0.0%, - ,0.0%, 170 ,68.0%, 4 ,1.6%, 15 ,6.0%, - ,0.0%, - ,0.0%
610217, WARD J , Network 6 , District , Traditional , ARMOUR SQUARE , 500 , 23 ,4.6%, 36 ,7.2%, - ,0.0%, 1 ,0.2%, 48 ,9.6%, 5 ,1.0%, 386 ,77.2%, - ,0.0%, 1 ,0.2%
610133, WARD L , Network 5 , District , Traditional , HUMBOLDT PARK , 258 , - ,0.0%, 201 ,77.9%, - ,0.0%, - ,0.0%, 56 ,21.7%, - ,0.0%, - ,0.0%, 1 ,0.4%, - ,0.0%
610218, WARREN , Network 12 , District , Traditional , CALUMET HEIGHTS , 281 , - ,0.0%, 280 ,99.6%, - ,0.0%, - ,0.0%, 1 ,0.4%, - ,0.0%, - ,0.0%, - ,0.0%, - ,0.0%
610219, WASHINGTON G ES , Network 13 , District , Traditional , EAST SIDE , 617 , 26 ,4.2%, 27 ,4.4%, - ,0.0%, 1 ,0.2%, 558 ,90.4%, 2 ,0.3%, 3 ,0.5%, - ,0.0%, - ,0.0%
610124, WASHINGTON H ES , Network 12 , District , Traditional , BURNSIDE , 233 , - ,0.0%, 216 ,92.7%, - ,0.0%, - ,0.0%, 15 ,6.4%, 1 ,0.4%, - ,0.0%, 1 ,0.4%, - ,0.0%
609739, WASHINGTON HS , Network 17 , District , Traditional , EAST SIDE ," 1,492 ", 49 ,3.3%, 119 ,8.0%, - ,0.0%, 7 ,0.5%," 1,307 ",87.6%, 8 ,0.5%, - ,0.0%, 2 ,0.1%, - ,0.0%
610220, WATERS , Network 2 , District , Traditional , LINCOLN SQUARE , 655 , 400 ,61.1%, 11 ,1.7%, - ,0.0%, 2 ,0.3%, 149 ,22.7%, 58 ,8.9%, 31 ,4.7%, 1 ,0.2%, 3 ,0.5%
610221, WEBSTER , Network 5 , District , Traditional , WEST GARFIELD PARK , 206 , - ,0.0%, 203 ,98.5%, - ,0.0%, 1 ,0.5%, 1 ,0.5%, 1 ,0.5%, - ,0.0%, - ,0.0%, - ,0.0%
610110, WELLS ES , Network 9 , District , Traditional , DOUGLAS , 323 , - ,0.0%, 304 ,94.1%, - ,0.0%, - ,0.0%, 12 ,3.7%, 2 ,0.6%, - ,0.0%, - ,0.0%, 5 ,1.5%
609740, WELLS HS , Network 15 , District , Traditional , WEST TOWN , 339 , 49 ,14.5%, 137 ,40.4%, - ,0.0%, 1 ,0.3%, 142 ,41.9%, 5 ,1.5%, 2 ,0.6%, - ,0.0%, 3 ,0.9%
610223, WENTWORTH , Network 11 , District , Traditional , WEST ENGLEWOOD , 383 , - ,0.0%, 338 ,88.3%, - ,0.0%, - ,0.0%, 45 ,11.7%, - ,0.0%, - ,0.0%, - ,0.0%, - ,0.0%
610100, WEST PARK , Network 5 , District , Traditional , HUMBOLDT PARK , 425 , 11 ,2.6%, 65 ,15.3%, - ,0.0%, - ,0.0%, 349 ,82.1%, - ,0.0%, - ,0.0%, - ,0.0%, - ,0.0%
610542, WEST RIDGE , ISP , District , Traditional , WEST RIDGE , 617 , 176 ,28.5%, 95 ,15.4%, - ,0.0%, 2 ,0.3%, 146 ,23.7%, 10 ,1.6%, 188 ,30.5%, - ,0.0%, - ,0.0%
610300, WESTCOTT , Network 11 , District , Traditional , CHATHAM , 401 , - ,0.0%, 388 ,96.8%, - ,0.0%, 1 ,0.2%, 11 ,2.7%, 1 ,0.2%, - ,0.0%, - ,0.0%, - ,0.0%
609693, WESTINGHOUSE HS , Network 15 , District , Traditional , HUMBOLDT PARK ," 1,236 ", 31 ,2.5%, 574 ,46.4%, - ,0.0%, 4 ,0.3%, 520 ,42.1%, 20 ,1.6%, 76 ,6.1%, 3 ,0.2%, 8 ,0.6%
610225, WHISTLER , Network 13 , District , Traditional , WEST PULLMAN , 252 , - ,0.0%, 247 ,98.0%, - ,0.0%, - ,0.0%, 3 ,1.2%, 2 ,0.8%, - ,0.0%, - ,0.0%, - ,0.0%
610315, WHITE , Network 13 , District , Traditional , WEST PULLMAN , 124 , - ,0.0%, 118 ,95.2%, - ,0.0%, - ,0.0%, 6 ,4.8%, - ,0.0%, - ,0.0%, - ,0.0%, - ,0.0%
610227, WHITNEY , Network 7 , District , Traditional , SOUTH LAWNDALE , 598 , 6 ,1.0%, - ,0.0%, - ,0.0%, - ,0.0%, 592 ,99.0%, - ,0.0%, - ,0.0%, - ,0.0%, - ,0.0%
610228, WHITTIER , Network 7 , District , Traditional , LOWER WEST SIDE , 177 , 3 ,1.7%, 2 ,1.1%, - ,0.0%, 1 ,0.6%, 171 ,96.6%, - ,0.0%, - ,0.0%, - ,0.0%, - ,0.0%
610230, WILDWOOD , Network 1 , District , Traditional , FOREST GLEN , 494 , 288 ,58.3%, 16 ,3.2%, - ,0.0%, - ,0.0%, 100 ,20.2%, 38 ,7.7%, 42 ,8.5%, - ,0.0%, 10 ,2.0%
610380, WILLIAMS HS , Network 17 , District , Traditional , GRAND BOULEVARD , 79 , - ,0.0%, 77 ,97.5%, - ,0.0%, - ,0.0%, 1 ,1.3%, 1 ,1.3%, - ,0.0%, - ,0.0%, - ,0.0%
609977, WOODLAWN , Network 9 , District , Traditional , WOODLAWN , 166 , - ,0.0%, 160 ,96.4%, - ,0.0%, - ,0.0%, 4 ,2.4%, 2 ,1.2%, - ,0.0%, - ,0.0%, - ,0.0%
610345, WOODSON , Network 9 , District , Traditional , GRAND BOULEVARD , 293 , - ,0.0%, 273 ,93.2%, - ,0.0%, - ,0.0%, 13 ,4.4%, 6 ,2.0%, 1 ,0.3%, - ,0.0%, - ,0.0%
610392, WORLD LANGUAGE HS , Network 15 , District , Traditional , SOUTH LAWNDALE , 326 , 1 ,0.3%, 8 ,2.5%, - ,0.0%, - ,0.0%, 315 ,96.6%, - ,0.0%, - ,0.0%, - ,0.0%, 2 ,0.6%
610234, YATES , Network 5 , District , Traditional , LOGAN SQUARE , 310 , 12 ,3.9%, 64 ,20.6%, - ,0.0%, - ,0.0%, 230 ,74.2%, 3 ,1.0%, 1 ,0.3%, - ,0.0%, - ,0.0%
400125, YCCS - ASPIRA PANTOJA , Options , Charter , Options , AVONDALE , 202 , 3 ,1.5%, 9 ,4.5%, - ,0.0%, - ,0.0%, 189 ,93.6%, - ,0.0%, - ,0.0%, 1 ,0.5%, - ,0.0%
400126, YCCS - ASSOCIATION HOUSE , Options , Charter , Options , HUMBOLDT PARK , 98 , 1 ,1.0%, 46 ,46.9%, - ,0.0%, - ,0.0%, 50 ,51.0%, - ,0.0%, - ,0.0%, 1 ,1.0%, - ,0.0%
400131, YCCS - CAMPOS , Options , Charter , Options , WEST TOWN , 156 , 3 ,1.9%, 38 ,24.4%, - ,0.0%, 1 ,0.6%, 107 ,68.6%, 3 ,1.9%, 2 ,1.3%, - ,0.0%, 2 ,1.3%
400128, YCCS - CCA ACADEMY , Options , Charter , Options , NORTH LAWNDALE , 72 , - ,0.0%, 67 ,93.1%, - ,0.0%, - ,0.0%, 4 ,5.6%, - ,0.0%, - ,0.0%, - ,0.0%, 1 ,1.4%
400150, YCCS - CHATHAM , Options , Charter , Options , CHATHAM , 100 , - ,0.0%, 96 ,96.0%, - ,0.0%, - ,0.0%, 2 ,2.0%, 2 ,2.0%, - ,0.0%, - ,0.0%, - ,0.0%
400133, YCCS - INNOVATIONS , Options , Charter , Options , LOOP , 502 , 6 ,1.2%, 443 ,88.2%, - ,0.0%, - ,0.0%, 52 ,10.4%, - ,0.0%, - ,0.0%, - ,0.0%, 1 ,0.2%
400135, YCCS - LATINO YOUTH , Options , Charter , Options , SOUTH LAWNDALE , 160 , 2 ,1.3%, 8 ,5.0%, - ,0.0%, 1 ,0.6%, 149 ,93.1%, - ,0.0%, - ,0.0%, - ,0.0%, - ,0.0%
400124, YCCS - MCKINLEY , Options , Charter , Options , DOUGLAS , 93 , 2 ,2.2%, 87 ,93.5%, - ,0.0%, - ,0.0%, 4 ,4.3%, - ,0.0%, - ,0.0%, - ,0.0%, - ,0.0%
400136, YCCS - OLIVE HARVEY , Options , Charter , Options , PULLMAN , 131 , 1 ,0.8%, 106 ,80.9%, - ,0.0%, - ,0.0%, 23 ,17.6%, - ,0.0%, - ,0.0%, - ,0.0%, 1 ,0.8%
400129, YCCS - PROGRESSIVE LEADERSHIP , Options , Charter , Options , GREATER GRAND CROSSING , 132 , - ,0.0%, 128 ,97.0%, - ,0.0%, - ,0.0%, 4 ,3.0%, - ,0.0%, - ,0.0%, - ,0.0%, - ,0.0%
400123, YCCS - SCHOLASTIC ACHIEVEMENT , Options , Charter , Options , AUSTIN , 114 , 1 ,0.9%, 110 ,96.5%, - ,0.0%, - ,0.0%, 3 ,2.6%, - ,0.0%, - ,0.0%, - ,0.0%, - ,0.0%
400139, YCCS - SULLIVAN , Options , Charter , Options , AVALON PARK , 326 , - ,0.0%, 293 ,89.9%, - ,0.0%, - ,0.0%, 29 ,8.9%, 4 ,1.2%, - ,0.0%, - ,0.0%, - ,0.0%
400141, YCCS - TRUMAN , Options , Charter , Options , UPTOWN , 180 , 15 ,8.3%, 41 ,22.8%, - ,0.0%, 2 ,1.1%, 95 ,52.8%, 3 ,1.7%, 17 ,9.4%, 1 ,0.6%, 6 ,3.3%
400144, YCCS - WEST , Options , Charter , Options , AUSTIN , 65 , 1 ,1.5%, 52 ,80.0%, - ,0.0%, - ,0.0%, 12 ,18.5%, - ,0.0%, - ,0.0%, - ,0.0%, - ,0.0%
400143, YCCS - WEST TOWN , Options , Charter , Options , HUMBOLDT PARK , 84 , - ,0.0%, 69 ,82.1%, - ,0.0%, - ,0.0%, 12 ,14.3%, - ,0.0%, - ,0.0%, - ,0.0%, 3 ,3.6%
400145, YCCS - YOUTH CONNECTION , Options , Charter , Options , LOWER WEST SIDE , 131 , - ,0.0%, 106 ,80.9%, - ,0.0%, - ,0.0%, 23 ,17.6%, - ,0.0%, 1 ,0.8%, - ,0.0%, 1 ,0.8%
400130, YCCS - YOUTH DEVELOPMENT , Options , Charter , Options , AUBURN GRESHAM , 83 , - ,0.0%, 78 ,94.0%, - ,0.0%, 1 ,1.2%, 4 ,4.8%, - ,0.0%, - ,0.0%, - ,0.0%, - ,0.0%
609748, YORK HS , Options , District , Options , SOUTH LAWNDALE , 165 , 2 ,1.2%, 132 ,80.0%, - ,0.0%, 1 ,0.6%, 30 ,18.2%, - ,0.0%, - ,0.0%, - ,0.0%, - ,0.0%
610235, YOUNG ES , Network 3 , District , Traditional , AUSTIN , 395 , 2 ,0.5%, 296 ,74.9%, - ,0.0%, 1 ,0.3%, 91 ,23.0%, 1 ,0.3%, - ,0.0%, 4 ,1.0%, - ,0.0%
609755, YOUNG HS , Network 15 , District , Traditional , NEAR WEST SIDE ," 2,224 ", 535 ,24.1%, 399 ,17.9%, - ,0.0%, 4 ,0.2%, 633 ,28.5%, 89 ,4.0%, 549 ,24.7%, 15 ,0.7%, - ,0.0%
609973, ZAPATA , Network 7 , District , Traditional , SOUTH LAWNDALE , 520 , 5 ,1.0%, 1 ,0.2%, - ,0.0%, - ,0.0%, 514 ,98.8%, - ,0.0%, - ,0.0%, - ,0.0%, - ,0.0%
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
